Order2020	POAexemptCode	Description
11772	I69.962	Other paralytic syndrome following unspecified cerebrovascular disease affecting left dominant side
11773	I69.963	Other paralytic syndrome following unspecified cerebrovascular disease affecting right non-dominant side
11774	I69.964	Other paralytic syndrome following unspecified cerebrovascular disease affecting left non-dominant side
11775	I69.965	"Other paralytic syndrome following unspecified cerebrovascular disease, bilateral"
11776	I69.969	Other paralytic syndrome following unspecified cerebrovascular disease affecting unspecified side
11778	I69.990	Apraxia following unspecified cerebrovascular disease
11779	I69.991	Dysphagia following unspecified cerebrovascular disease
11780	I69.992	Facial weakness following unspecified cerebrovascular disease
11781	I69.993	Ataxia following unspecified cerebrovascular disease
11782	I69.998	Other sequelae following unspecified cerebrovascular disease
21933	M84.750D	"Atypical femoral fracture, unspecified, subsequent encounter for fracture with routine healing"
21934	M84.750G	"Atypical femoral fracture, unspecified, subsequent encounter for fracture with delayed healing"
21935	M84.750K	"Atypical femoral fracture, unspecified, subsequent encounter for fracture with nonunion"
21936	M84.750P	"Atypical femoral fracture, unspecified, subsequent encounter for fracture with malunion"
21937	M84.750S	"Atypical femoral fracture, unspecified, sequela"
21940	M84.751D	"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with routine healing"
21941	M84.751G	"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"
21942	M84.751K	"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"
21943	M84.751P	"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"
21944	M84.751S	"Incomplete atypical femoral fracture, right leg, sequela"
21947	M84.752D	"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"
21948	M84.752G	"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"
21949	M84.752K	"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"
21950	M84.752P	"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"
21951	M84.752S	"Incomplete atypical femoral fracture, left leg, sequela"
21954	M84.753D	"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"
21955	M84.753G	"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"
21956	M84.753K	"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"
21957	M84.753P	"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"
21958	M84.753S	"Incomplete atypical femoral fracture, unspecified leg, sequela"
21961	M84.754D	"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with routine healing"
21962	M84.754G	"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"
21963	M84.754K	"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"
21964	M84.754P	"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"
21965	M84.754S	"Complete transverse atypical femoral fracture, right leg, sequela"
21968	M84.755D	"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"
21969	M84.755G	"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"
21970	M84.755K	"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"
21971	M84.755P	"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"
21972	M84.755S	"Complete transverse atypical femoral fracture, left leg, sequela"
21975	M84.756D	"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"
21976	M84.756G	"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"
21977	M84.756K	"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"
21978	M84.756P	"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"
21979	M84.756S	"Complete transverse atypical femoral fracture, unspecified leg, sequela"
21982	M84.757D	"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with routine healing"
21983	M84.757G	"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"
21984	M84.757K	"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"
21985	M84.757P	"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"
21986	M84.757S	"Complete oblique atypical femoral fracture, right leg, sequela"
21989	M84.758D	"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"
21990	M84.758G	"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"
21991	M84.758K	"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"
21992	M84.758P	"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"
21993	M84.758S	"Complete oblique atypical femoral fracture, left leg, sequela"
21996	M84.759D	"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"
21997	M84.759G	"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"
21998	M84.759K	"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"
21999	M84.759P	"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"
22000	M84.759S	"Complete oblique atypical femoral fracture, unspecified leg, sequela"
23478	M97.01XD	"Periprosthetic fracture around internal prosthetic right hip joint, subsequent encounter"
23479	M97.01XS	"Periprosthetic fracture around internal prosthetic right hip joint, sequela"
23482	M97.02XD	"Periprosthetic fracture around internal prosthetic left hip joint, subsequent encounter"
23483	M97.02XS	"Periprosthetic fracture around internal prosthetic left hip joint, sequela"
23487	M97.11XD	"Periprosthetic fracture around internal prosthetic right knee joint, subsequent encounter"
23488	M97.11XS	"Periprosthetic fracture around internal prosthetic right knee joint, sequela"
23491	M97.12XD	"Periprosthetic fracture around internal prosthetic left knee joint, subsequent encounter"
23492	M97.12XS	"Periprosthetic fracture around internal prosthetic left knee joint, sequela"
23496	M97.21XD	"Periprosthetic fracture around internal prosthetic right ankle joint, subsequent encounter"
23497	M97.21XS	"Periprosthetic fracture around internal prosthetic right ankle joint, sequela"
23500	M97.22XD	"Periprosthetic fracture around internal prosthetic left ankle joint, subsequent encounter"
23501	M97.22XS	"Periprosthetic fracture around internal prosthetic left ankle joint, sequela"
23505	M97.31XD	"Periprosthetic fracture around internal prosthetic right shoulder joint, subsequent encounter"
23506	M97.31XS	"Periprosthetic fracture around internal prosthetic right shoulder joint, sequela"
23509	M97.32XD	"Periprosthetic fracture around internal prosthetic left shoulder joint, subsequent encounter"
23510	M97.32XS	"Periprosthetic fracture around internal prosthetic left shoulder joint, sequela"
23514	M97.41XD	"Periprosthetic fracture around internal prosthetic right elbow joint, subsequent encounter"
23515	M97.41XS	"Periprosthetic fracture around internal prosthetic right elbow joint, sequela"
23518	M97.42XD	"Periprosthetic fracture around internal prosthetic left elbow joint, subsequent encounter"
23519	M97.42XS	"Periprosthetic fracture around internal prosthetic left elbow joint, sequela"
23522	M97.8XXD	"Periprosthetic fracture around other internal prosthetic joint, subsequent encounter"
23523	M97.8XXS	"Periprosthetic fracture around other internal prosthetic joint, sequela"
23526	M97.9XXD	"Periprosthetic fracture around unspecified internal prosthetic joint, subsequent encounter"
23527	M97.9XXS	"Periprosthetic fracture around unspecified internal prosthetic joint, sequela"
24580	O09.00	"Supervision of pregnancy with history of infertility, unspecified trimester"
24581	O09.01	"Supervision of pregnancy with history of infertility, first trimester"
24582	O09.02	"Supervision of pregnancy with history of infertility, second trimester"
24583	O09.03	"Supervision of pregnancy with history of infertility, third trimester"
24585	O09.10	"Supervision of pregnancy with history of ectopic pregnancy, unspecified trimester"
24586	O09.11	"Supervision of pregnancy with history of ectopic pregnancy, first trimester"
24587	O09.12	"Supervision of pregnancy with history of ectopic pregnancy, second trimester"
24588	O09.13	"Supervision of pregnancy with history of ectopic pregnancy, third trimester"
24590	O09.A0	"Supervision of pregnancy with history of molar pregnancy, unspecified trimester"
24591	O09.A1	"Supervision of pregnancy with history of molar pregnancy, first trimester"
24592	O09.A2	"Supervision of pregnancy with history of molar pregnancy, second trimester"
24593	O09.A3	"Supervision of pregnancy with history of molar pregnancy, third trimester"
24596	O09.211	"Supervision of pregnancy with history of pre-term labor, first trimester"
24597	O09.212	"Supervision of pregnancy with history of pre-term labor, second trimester"
24598	O09.213	"Supervision of pregnancy with history of pre-term labor, third trimester"
24599	O09.219	"Supervision of pregnancy with history of pre-term labor, unspecified trimester"
24601	O09.291	"Supervision of pregnancy with other poor reproductive or obstetric history, first trimester"
24602	O09.292	"Supervision of pregnancy with other poor reproductive or obstetric history, second trimester"
24603	O09.293	"Supervision of pregnancy with other poor reproductive or obstetric history, third trimester"
24604	O09.299	"Supervision of pregnancy with other poor reproductive or obstetric history, unspecified trimester"
24606	O09.30	"Supervision of pregnancy with insufficient antenatal care, unspecified trimester"
24607	O09.31	"Supervision of pregnancy with insufficient antenatal care, first trimester"
24608	O09.32	"Supervision of pregnancy with insufficient antenatal care, second trimester"
24609	O09.33	"Supervision of pregnancy with insufficient antenatal care, third trimester"
24611	O09.40	"Supervision of pregnancy with grand multiparity, unspecified trimester"
24612	O09.41	"Supervision of pregnancy with grand multiparity, first trimester"
24613	O09.42	"Supervision of pregnancy with grand multiparity, second trimester"
24614	O09.43	"Supervision of pregnancy with grand multiparity, third trimester"
24617	O09.511	"Supervision of elderly primigravida, first trimester"
24618	O09.512	"Supervision of elderly primigravida, second trimester"
24619	O09.513	"Supervision of elderly primigravida, third trimester"
24620	O09.519	"Supervision of elderly primigravida, unspecified trimester"
24622	O09.521	"Supervision of elderly multigravida, first trimester"
24623	O09.522	"Supervision of elderly multigravida, second trimester"
24624	O09.523	"Supervision of elderly multigravida, third trimester"
