Order2017	POAexemptCode	Description
11294	I69.112	Visuospatial deficit and spatial neglect following nontraumatic intracerebral hemorrhage
11295	I69.113	Psychomotor deficit following nontraumatic intracerebral hemorrhage
11296	I69.114	Frontal lobe and executive function deficit following nontraumatic intracerebral hemorrhage
11297	I69.115	Cognitive social or emotional deficit following nontraumatic intracerebral hemorrhage
11298	I69.118	Other symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage
11299	I69.119	Unspecified symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage
11301	I69.120	Aphasia following nontraumatic intracerebral hemorrhage
11302	I69.121	Dysphasia following nontraumatic intracerebral hemorrhage
11303	I69.122	Dysarthria following nontraumatic intracerebral hemorrhage
11304	I69.123	Fluency disorder following nontraumatic intracerebral hemorrhage
11305	I69.128	Other speech and language deficits following nontraumatic intracerebral hemorrhage
11307	I69.131	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting right dominant side
11308	I69.132	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting left dominant side
11309	I69.133	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting right non-dominant side
11310	I69.134	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting left non-dominant side
11311	I69.139	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting unspecified side
11313	I69.141	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting right dominant side
11314	I69.142	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting left dominant side
11315	I69.143	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting right non-dominant side
11316	I69.144	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting left non-dominant side
11317	I69.149	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting unspecified side
11319	I69.151	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right dominant side
11320	I69.152	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left dominant side
11321	I69.153	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right non-dominant side
11322	I69.154	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left non-dominant side
11323	I69.159	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting unspecified side
11325	I69.161	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right dominant side
11326	I69.162	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left dominant side
11327	I69.163	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right non-dominant side
11328	I69.164	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left non-dominant side
11329	I69.165	"Other paralytic syndrome following nontraumatic intracerebral hemorrhage, bilateral"
11330	I69.169	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting unspecified side
11332	I69.190	Apraxia following nontraumatic intracerebral hemorrhage
11333	I69.191	Dysphagia following nontraumatic intracerebral hemorrhage
11334	I69.192	Facial weakness following nontraumatic intracerebral hemorrhage
11335	I69.193	Ataxia following nontraumatic intracerebral hemorrhage
11336	I69.198	Other sequelae of nontraumatic intracerebral hemorrhage
11338	I69.20	Unspecified sequelae of other nontraumatic intracranial hemorrhage
11340	I69.210	Attention and concentration deficit following other nontraumatic intracranial hemorrhage
11341	I69.211	Memory deficit following other nontraumatic intracranial hemorrhage
11342	I69.212	Visuospatial deficit and spatial neglect following other nontraumatic intracranial hemorrhage
11343	I69.213	Psychomotor deficit following other nontraumatic intracranial hemorrhage
11344	I69.214	Frontal lobe and executive function deficit following other nontraumatic intracranial hemorrhage
11345	I69.215	Cognitive social or emotional deficit following other nontraumatic intracranial hemorrhage
11346	I69.218	Other symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage
11347	I69.219	Unspecified symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage
11349	I69.220	Aphasia following other nontraumatic intracranial hemorrhage
11350	I69.221	Dysphasia following other nontraumatic intracranial hemorrhage
11351	I69.222	Dysarthria following other nontraumatic intracranial hemorrhage
11352	I69.223	Fluency disorder following other nontraumatic intracranial hemorrhage
11353	I69.228	Other speech and language deficits following other nontraumatic intracranial hemorrhage
11355	I69.231	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right dominant side
11356	I69.232	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left dominant side
11357	I69.233	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side
11358	I69.234	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
11359	I69.239	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting unspecified side
11361	I69.241	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right dominant side
11362	I69.242	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left dominant side
11363	I69.243	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side
11364	I69.244	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
11365	I69.249	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting unspecified side
11367	I69.251	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right dominant side
11368	I69.252	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left dominant side
11369	I69.253	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right non-dominant side
11370	I69.254	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left non-dominant side
11371	I69.259	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting unspecified side
11373	I69.261	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right dominant side
11374	I69.262	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left dominant side
11375	I69.263	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right non-dominant side
11376	I69.264	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left non-dominant side
11377	I69.265	"Other paralytic syndrome following other nontraumatic intracranial hemorrhage, bilateral"
11378	I69.269	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting unspecified side
11380	I69.290	Apraxia following other nontraumatic intracranial hemorrhage
11381	I69.291	Dysphagia following other nontraumatic intracranial hemorrhage
11382	I69.292	Facial weakness following other nontraumatic intracranial hemorrhage
11383	I69.293	Ataxia following other nontraumatic intracranial hemorrhage
11384	I69.298	Other sequelae of other nontraumatic intracranial hemorrhage
11386	I69.30	Unspecified sequelae of cerebral infarction
11388	I69.310	Attention and concentration deficit following cerebral infarction
11389	I69.311	Memory deficit following cerebral infarction
11390	I69.312	Visuospatial deficit and spatial neglect following cerebral infarction
11391	I69.313	Psychomotor deficit following cerebral infarction
11392	I69.314	Frontal lobe and executive function deficit following cerebral infarction
11393	I69.315	Cognitive social or emotional deficit following cerebral infarction
11394	I69.318	Other symptoms and signs involving cognitive functions following cerebral infarction
11395	I69.319	Unspecified symptoms and signs involving cognitive functions following cerebral infarction
11397	I69.320	Aphasia following cerebral infarction
11398	I69.321	Dysphasia following cerebral infarction
11399	I69.322	Dysarthria following cerebral infarction
11400	I69.323	Fluency disorder following cerebral infarction
11401	I69.328	Other speech and language deficits following cerebral infarction
11403	I69.331	Monoplegia of upper limb following cerebral infarction affecting right dominant side
11404	I69.332	Monoplegia of upper limb following cerebral infarction affecting left dominant side
11405	I69.333	Monoplegia of upper limb following cerebral infarction affecting right non-dominant side
11406	I69.334	Monoplegia of upper limb following cerebral infarction affecting left non-dominant side
11407	I69.339	Monoplegia of upper limb following cerebral infarction affecting unspecified side
11409	I69.341	Monoplegia of lower limb following cerebral infarction affecting right dominant side
11410	I69.342	Monoplegia of lower limb following cerebral infarction affecting left dominant side
11411	I69.343	Monoplegia of lower limb following cerebral infarction affecting right non-dominant side
11412	I69.344	Monoplegia of lower limb following cerebral infarction affecting left non-dominant side
11413	I69.349	Monoplegia of lower limb following cerebral infarction affecting unspecified side
11415	I69.351	Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side
11416	I69.352	Hemiplegia and hemiparesis following cerebral infarction affecting left dominant side
11417	I69.353	Hemiplegia and hemiparesis following cerebral infarction affecting right non-dominant side
11418	I69.354	Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side
11419	I69.359	Hemiplegia and hemiparesis following cerebral infarction affecting unspecified side
11421	I69.361	Other paralytic syndrome following cerebral infarction affecting right dominant side
11422	I69.362	Other paralytic syndrome following cerebral infarction affecting left dominant side
11423	I69.363	Other paralytic syndrome following cerebral infarction affecting right non-dominant side
11424	I69.364	Other paralytic syndrome following cerebral infarction affecting left non-dominant side
11425	I69.365	"Other paralytic syndrome following cerebral infarction, bilateral"
11426	I69.369	Other paralytic syndrome following cerebral infarction affecting unspecified side
11428	I69.390	Apraxia following cerebral infarction
11429	I69.391	Dysphagia following cerebral infarction
11430	I69.392	Facial weakness following cerebral infarction
11431	I69.393	Ataxia following cerebral infarction
11432	I69.398	Other sequelae of cerebral infarction
11434	I69.80	Unspecified sequelae of other cerebrovascular disease
11436	I69.810	Attention and concentration deficit following other cerebrovascular disease
11437	I69.811	Memory deficit following other cerebrovascular disease
11438	I69.812	Visuospatial deficit and spatial neglect following other cerebrovascular disease
11439	I69.813	Psychomotor deficit following other cerebrovascular disease
11440	I69.814	Frontal lobe and executive function deficit following other cerebrovascular disease
11441	I69.815	Cognitive social or emotional deficit following other cerebrovascular disease
11442	I69.818	Other symptoms and signs involving cognitive functions following other cerebrovascular disease
11443	I69.819	Unspecified symptoms and signs involving cognitive functions following other cerebrovascular disease
11445	I69.820	Aphasia following other cerebrovascular disease
11446	I69.821	Dysphasia following other cerebrovascular disease
11447	I69.822	Dysarthria following other cerebrovascular disease
11448	I69.823	Fluency disorder following other cerebrovascular disease
11449	I69.828	Other speech and language deficits following other cerebrovascular disease
11451	I69.831	Monoplegia of upper limb following other cerebrovascular disease affecting right dominant side
11452	I69.832	Monoplegia of upper limb following other cerebrovascular disease affecting left dominant side
11453	I69.833	Monoplegia of upper limb following other cerebrovascular disease affecting right non-dominant side
11454	I69.834	Monoplegia of upper limb following other cerebrovascular disease affecting left non-dominant side
11455	I69.839	Monoplegia of upper limb following other cerebrovascular disease affecting unspecified side
11457	I69.841	Monoplegia of lower limb following other cerebrovascular disease affecting right dominant side
11458	I69.842	Monoplegia of lower limb following other cerebrovascular disease affecting left dominant side
11459	I69.843	Monoplegia of lower limb following other cerebrovascular disease affecting right non-dominant side
11460	I69.844	Monoplegia of lower limb following other cerebrovascular disease affecting left non-dominant side
11461	I69.849	Monoplegia of lower limb following other cerebrovascular disease affecting unspecified side
11463	I69.851	Hemiplegia and hemiparesis following other cerebrovascular disease affecting right dominant side
11464	I69.852	Hemiplegia and hemiparesis following other cerebrovascular disease affecting left dominant side
11465	I69.853	Hemiplegia and hemiparesis following other cerebrovascular disease affecting right non-dominant side
11466	I69.854	Hemiplegia and hemiparesis following other cerebrovascular disease affecting left non-dominant side
11467	I69.859	Hemiplegia and hemiparesis following other cerebrovascular disease affecting unspecified side
11469	I69.861	Other paralytic syndrome following other cerebrovascular disease affecting right dominant side
11470	I69.862	Other paralytic syndrome following other cerebrovascular disease affecting left dominant side
11471	I69.863	Other paralytic syndrome following other cerebrovascular disease affecting right non-dominant side
11472	I69.864	Other paralytic syndrome following other cerebrovascular disease affecting left non-dominant side
11473	I69.865	"Other paralytic syndrome following other cerebrovascular disease, bilateral"
11474	I69.869	Other paralytic syndrome following other cerebrovascular disease affecting unspecified side
11476	I69.890	Apraxia following other cerebrovascular disease
11477	I69.891	Dysphagia following other cerebrovascular disease
11478	I69.892	Facial weakness following other cerebrovascular disease
11479	I69.893	Ataxia following other cerebrovascular disease
11480	I69.898	Other sequelae of other cerebrovascular disease
11482	I69.90	Unspecified sequelae of unspecified cerebrovascular disease
11493	I69.920	Aphasia following unspecified cerebrovascular disease
11494	I69.921	Dysphasia following unspecified cerebrovascular disease
11495	I69.922	Dysarthria following unspecified cerebrovascular disease
11496	I69.923	Fluency disorder following unspecified cerebrovascular disease
11497	I69.928	Other speech and language deficits following unspecified cerebrovascular disease
11499	I69.931	Monoplegia of upper limb following unspecified cerebrovascular disease affecting right dominant side
11500	I69.932	Monoplegia of upper limb following unspecified cerebrovascular disease affecting left dominant side
11501	I69.933	Monoplegia of upper limb following unspecified cerebrovascular disease affecting right non-dominant side
11502	I69.934	Monoplegia of upper limb following unspecified cerebrovascular disease affecting left non-dominant side
11503	I69.939	Monoplegia of upper limb following unspecified cerebrovascular disease affecting unspecified side
11505	I69.941	Monoplegia of lower limb following unspecified cerebrovascular disease affecting right dominant side
11506	I69.942	Monoplegia of lower limb following unspecified cerebrovascular disease affecting left dominant side
11507	I69.943	Monoplegia of lower limb following unspecified cerebrovascular disease affecting right non-dominant side
11508	I69.944	Monoplegia of lower limb following unspecified cerebrovascular disease affecting left non-dominant side
11509	I69.949	Monoplegia of lower limb following unspecified cerebrovascular disease affecting unspecified side
11511	I69.951	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right dominant side
11512	I69.952	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left dominant side
11513	I69.953	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right non-dominant side
11514	I69.954	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left non-dominant side
11515	I69.959	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting unspecified side
11517	I69.961	Other paralytic syndrome following unspecified cerebrovascular disease affecting right dominant side
11518	I69.962	Other paralytic syndrome following unspecified cerebrovascular disease affecting left dominant side
11519	I69.963	Other paralytic syndrome following unspecified cerebrovascular disease affecting right non-dominant side
11520	I69.964	Other paralytic syndrome following unspecified cerebrovascular disease affecting left non-dominant side
11521	I69.965	"Other paralytic syndrome following unspecified cerebrovascular disease, bilateral"
11522	I69.969	Other paralytic syndrome following unspecified cerebrovascular disease affecting unspecified side
11524	I69.990	Apraxia following unspecified cerebrovascular disease
11525	I69.991	Dysphagia following unspecified cerebrovascular disease
11526	I69.992	Facial weakness following unspecified cerebrovascular disease
11527	I69.993	Ataxia following unspecified cerebrovascular disease
11528	I69.998	Other sequelae following unspecified cerebrovascular disease
21505	M84.750D	"Atypical femoral fracture, unspecified, subsequent encounter for fracture with routine healing"
21506	M84.750G	"Atypical femoral fracture, unspecified, subsequent encounter for fracture with delayed healing"
21507	M84.750K	"Atypical femoral fracture, unspecified, subsequent encounter for fracture with nonunion"
21508	M84.750P	"Atypical femoral fracture, unspecified, subsequent encounter for fracture with malunion"
21509	M84.750S	"Atypical femoral fracture, unspecified, sequela"
21512	M84.751D	"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with routine healing"
21513	M84.751G	"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"
21514	M84.751K	"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"
21515	M84.751P	"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"
21516	M84.751S	"Incomplete atypical femoral fracture, right leg, sequela"
21519	M84.752D	"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"
21520	M84.752G	"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"
21521	M84.752K	"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"
21522	M84.752P	"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"
21523	M84.752S	"Incomplete atypical femoral fracture, left leg, sequela"
21526	M84.753D	"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"
21527	M84.753G	"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"
21528	M84.753K	"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"
21529	M84.753P	"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"
21530	M84.753S	"Incomplete atypical femoral fracture, unspecified leg, sequela"
21533	M84.754D	"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with routine healing"
21534	M84.754G	"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"
21535	M84.754K	"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"
21536	M84.754P	"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"
21537	M84.754S	"Complete transverse atypical femoral fracture, right leg, sequela"
21540	M84.755D	"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"
21541	M84.755G	"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"
21542	M84.755K	"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"
21543	M84.755P	"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"
21544	M84.755S	"Complete transverse atypical femoral fracture, left leg, sequela"
21547	M84.756D	"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"
21548	M84.756G	"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"
21549	M84.756K	"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"
21550	M84.756P	"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"
21551	M84.756S	"Complete transverse atypical femoral fracture, unspecified leg, sequela"
21554	M84.757D	"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with routine healing"
21555	M84.757G	"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"
21556	M84.757K	"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"
21557	M84.757P	"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"
21558	M84.757S	"Complete oblique atypical femoral fracture, right leg, sequela"
21561	M84.758D	"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"
21562	M84.758G	"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"
21563	M84.758K	"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"
21564	M84.758P	"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"
21565	M84.758S	"Complete oblique atypical femoral fracture, left leg, sequela"
21568	M84.759D	"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"
21569	M84.759G	"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"
21570	M84.759K	"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"
21571	M84.759P	"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"
21572	M84.759S	"Complete oblique atypical femoral fracture, unspecified leg, sequela"
23041	M96.840	Postprocedural hematoma of a musculoskeletal structure following a musculoskeletal system procedure
23042	M96.841	Postprocedural hematoma of a musculoskeletal structure following other procedure
23050	M97.01XD	"Periprosthetic fracture around internal prosthetic right hip joint, subsequent encounter"
23051	M97.01XS	"Periprosthetic fracture around internal prosthetic right hip joint, sequela"
23054	M97.02XD	"Periprosthetic fracture around internal prosthetic left hip joint, subsequent encounter"
23055	M97.02XS	"Periprosthetic fracture around internal prosthetic left hip joint, sequela"
23059	M97.11XD	"Periprosthetic fracture around internal prosthetic right knee joint, subsequent encounter"
23060	M97.11XS	"Periprosthetic fracture around internal prosthetic right knee joint, sequela"
23063	M97.12XD	"Periprosthetic fracture around internal prosthetic left knee joint, subsequent encounter"
23064	M97.12XS	"Periprosthetic fracture around internal prosthetic left knee joint, sequela"
23068	M97.21XD	"Periprosthetic fracture around internal prosthetic right ankle joint, subsequent encounter"
23069	M97.21XS	"Periprosthetic fracture around internal prosthetic right ankle joint, sequela"
23072	M97.22XD	"Periprosthetic fracture around internal prosthetic left ankle joint, subsequent encounter"
23073	M97.22XS	"Periprosthetic fracture around internal prosthetic left ankle joint, sequela"
23077	M97.31XD	"Periprosthetic fracture around internal prosthetic right shoulder joint, subsequent encounter"
23078	M97.31XS	"Periprosthetic fracture around internal prosthetic right shoulder joint, sequela"
23081	M97.32XD	"Periprosthetic fracture around internal prosthetic left shoulder joint, subsequent encounter"
23082	M97.32XS	"Periprosthetic fracture around internal prosthetic left shoulder joint, sequela"
23086	M97.41XD	"Periprosthetic fracture around internal prosthetic right elbow joint, subsequent encounter"
23087	M97.41XS	"Periprosthetic fracture around internal prosthetic right elbow joint, sequela"
23090	M97.42XD	"Periprosthetic fracture around internal prosthetic left elbow joint, subsequent encounter"
23091	M97.42XS	"Periprosthetic fracture around internal prosthetic left elbow joint, sequela"
23094	M97.8XXD	"Periprosthetic fracture around other internal prosthetic joint, subsequent encounter"
23095	M97.8XXS	"Periprosthetic fracture around other internal prosthetic joint, sequela"
23098	M97.9XXD	"Periprosthetic fracture around unspecified internal prosthetic joint, subsequent encounter"
23099	M97.9XXS	"Periprosthetic fracture around unspecified internal prosthetic joint, sequela"
24099	O09.00	"Supervision of pregnancy with history of infertility, unspecified trimester"
24100	O09.01	"Supervision of pregnancy with history of infertility, first trimester"
24101	O09.02	"Supervision of pregnancy with history of infertility, second trimester"
24102	O09.03	"Supervision of pregnancy with history of infertility, third trimester"
24104	O09.10	"Supervision of pregnancy with history of ectopic or molar pregnancy, unspecified trimester"
24105	O09.11	"Supervision of pregnancy with history of ectopic or molar pregnancy, first trimester"
24106	O09.12	"Supervision of pregnancy with history of ectopic or molar pregnancy, second trimester"
24107	O09.13	"Supervision of pregnancy with history of ectopic or molar pregnancy, third trimester"
24115	O09.211	"Supervision of pregnancy with history of pre-term labor, first trimester"
24116	O09.212	"Supervision of pregnancy with history of pre-term labor, second trimester"
24117	O09.213	"Supervision of pregnancy with history of pre-term labor, third trimester"
24118	O09.219	"Supervision of pregnancy with history of pre-term labor, unspecified trimester"
24120	O09.291	"Supervision of pregnancy with other poor reproductive or obstetric history, first trimester"
24121	O09.292	"Supervision of pregnancy with other poor reproductive or obstetric history, second trimester"
24122	O09.293	"Supervision of pregnancy with other poor reproductive or obstetric history, third trimester"
24123	O09.299	"Supervision of pregnancy with other poor reproductive or obstetric history, unspecified trimester"
24125	O09.30	"Supervision of pregnancy with insufficient antenatal care, unspecified trimester"
24126	O09.31	"Supervision of pregnancy with insufficient antenatal care, first trimester"
24127	O09.32	"Supervision of pregnancy with insufficient antenatal care, second trimester"
24128	O09.33	"Supervision of pregnancy with insufficient antenatal care, third trimester"
24130	O09.40	"Supervision of pregnancy with grand multiparity, unspecified trimester"
24131	O09.41	"Supervision of pregnancy with grand multiparity, first trimester"
24132	O09.42	"Supervision of pregnancy with grand multiparity, second trimester"
24133	O09.43	"Supervision of pregnancy with grand multiparity, third trimester"
24136	O09.511	"Supervision of elderly primigravida, first trimester"
24137	O09.512	"Supervision of elderly primigravida, second trimester"
24138	O09.513	"Supervision of elderly primigravida, third trimester"
24139	O09.519	"Supervision of elderly primigravida, unspecified trimester"
24141	O09.521	"Supervision of elderly multigravida, first trimester"
24142	O09.522	"Supervision of elderly multigravida, second trimester"
24143	O09.523	"Supervision of elderly multigravida, third trimester"
24144	O09.529	"Supervision of elderly multigravida, unspecified trimester"
24147	O09.611	"Supervision of young primigravida, first trimester"
