Order	POAexemptCode	Description
10782	I69.122	Dysarthria following nontraumatic intracerebral hemorrhage
10783	I69.123	Fluency disorder following nontraumatic intracerebral hemorrhage
10784	I69.128	Other speech and language deficits following nontraumatic intracerebral hemorrhage
10786	I69.131	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting right dominant side
10787	I69.132	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting left dominant side
10788	I69.133	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting right non-dominant side
10789	I69.134	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting left non-dominant side
10790	I69.139	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting unspecified side
10792	I69.141	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting right dominant side
10793	I69.142	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting left dominant side
10794	I69.143	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting right non-dominant side
10795	I69.144	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting left non-dominant side
10796	I69.149	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting unspecified side
10798	I69.151	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right dominant side
10799	I69.152	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left dominant side
10800	I69.153	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right non-dominant side
10801	I69.154	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left non-dominant side
10802	I69.159	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting unspecified side
10804	I69.161	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right dominant side
10805	I69.162	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left dominant side
10806	I69.163	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right non-dominant side
10807	I69.164	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left non-dominant side
10808	I69.165	"Other paralytic syndrome following nontraumatic intracerebral hemorrhage, bilateral"
10809	I69.169	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting unspecified side
10811	I69.190	Apraxia following nontraumatic intracerebral hemorrhage
10812	I69.191	Dysphagia following nontraumatic intracerebral hemorrhage
10813	I69.192	Facial weakness following nontraumatic intracerebral hemorrhage
10814	I69.193	Ataxia following nontraumatic intracerebral hemorrhage
10815	I69.198	Other sequelae of nontraumatic intracerebral hemorrhage
10817	I69.20	Unspecified sequelae of other nontraumatic intracranial hemorrhage
10818	I69.21	Cognitive deficits following other nontraumatic intracranial hemorrhage
10820	I69.220	Aphasia following other nontraumatic intracranial hemorrhage
10821	I69.221	Dysphasia following other nontraumatic intracranial hemorrhage
10822	I69.222	Dysarthria following other nontraumatic intracranial hemorrhage
10823	I69.223	Fluency disorder following other nontraumatic intracranial hemorrhage
10824	I69.228	Other speech and language deficits following other nontraumatic intracranial hemorrhage
10826	I69.231	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right dominant side
10827	I69.232	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left dominant side
10828	I69.233	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side
10829	I69.234	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
10830	I69.239	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting unspecified side
10832	I69.241	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right dominant side
10833	I69.242	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left dominant side
10834	I69.243	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side
10835	I69.244	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
10836	I69.249	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting unspecified side
10838	I69.251	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right dominant side
10839	I69.252	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left dominant side
10840	I69.253	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right non-dominant side
10841	I69.254	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left non-dominant side
10842	I69.259	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting unspecified side
10844	I69.261	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right dominant side
10845	I69.262	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left dominant side
10846	I69.263	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right non-dominant side
10847	I69.264	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left non-dominant side
10848	I69.265	"Other paralytic syndrome following other nontraumatic intracranial hemorrhage, bilateral"
10849	I69.269	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting unspecified side
10851	I69.290	Apraxia following other nontraumatic intracranial hemorrhage
10852	I69.291	Dysphagia following other nontraumatic intracranial hemorrhage
10853	I69.292	Facial weakness following other nontraumatic intracranial hemorrhage
10854	I69.293	Ataxia following other nontraumatic intracranial hemorrhage
10855	I69.298	Other sequelae of other nontraumatic intracranial hemorrhage
10857	I69.30	Unspecified sequelae of cerebral infarction
10858	I69.31	Cognitive deficits following cerebral infarction
10860	I69.320	Aphasia following cerebral infarction
10861	I69.321	Dysphasia following cerebral infarction
10862	I69.322	Dysarthria following cerebral infarction
10863	I69.323	Fluency disorder following cerebral infarction
10864	I69.328	Other speech and language deficits following cerebral infarction
10866	I69.331	Monoplegia of upper limb following cerebral infarction affecting right dominant side
10867	I69.332	Monoplegia of upper limb following cerebral infarction affecting left dominant side
10868	I69.333	Monoplegia of upper limb following cerebral infarction affecting right non-dominant side
10869	I69.334	Monoplegia of upper limb following cerebral infarction affecting left non-dominant side
10870	I69.339	Monoplegia of upper limb following cerebral infarction affecting unspecified side
10872	I69.341	Monoplegia of lower limb following cerebral infarction affecting right dominant side
10873	I69.342	Monoplegia of lower limb following cerebral infarction affecting left dominant side
10874	I69.343	Monoplegia of lower limb following cerebral infarction affecting right non-dominant side
10875	I69.344	Monoplegia of lower limb following cerebral infarction affecting left non-dominant side
10876	I69.349	Monoplegia of lower limb following cerebral infarction affecting unspecified side
10878	I69.351	Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side
10879	I69.352	Hemiplegia and hemiparesis following cerebral infarction affecting left dominant side
10880	I69.353	Hemiplegia and hemiparesis following cerebral infarction affecting right non-dominant side
10881	I69.354	Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side
10882	I69.359	Hemiplegia and hemiparesis following cerebral infarction affecting unspecified side
10884	I69.361	Other paralytic syndrome following cerebral infarction affecting right dominant side
10885	I69.362	Other paralytic syndrome following cerebral infarction affecting left dominant side
10886	I69.363	Other paralytic syndrome following cerebral infarction affecting right non-dominant side
10887	I69.364	Other paralytic syndrome following cerebral infarction affecting left non-dominant side
10888	I69.365	"Other paralytic syndrome following cerebral infarction, bilateral"
10889	I69.369	Other paralytic syndrome following cerebral infarction affecting unspecified side
10891	I69.390	Apraxia following cerebral infarction
10892	I69.391	Dysphagia following cerebral infarction
10893	I69.392	Facial weakness following cerebral infarction
10894	I69.393	Ataxia following cerebral infarction
10895	I69.398	Other sequelae of cerebral infarction
10897	I69.80	Unspecified sequelae of other cerebrovascular disease
10898	I69.81	Cognitive deficits following other cerebrovascular disease
10900	I69.820	Aphasia following other cerebrovascular disease
10901	I69.821	Dysphasia following other cerebrovascular disease
10902	I69.822	Dysarthria following other cerebrovascular disease
10903	I69.823	Fluency disorder following other cerebrovascular disease
10904	I69.828	Other speech and language deficits following other cerebrovascular disease
10906	I69.831	Monoplegia of upper limb following other cerebrovascular disease affecting right dominant side
10907	I69.832	Monoplegia of upper limb following other cerebrovascular disease affecting left dominant side
10908	I69.833	Monoplegia of upper limb following other cerebrovascular disease affecting right non-dominant side
10909	I69.834	Monoplegia of upper limb following other cerebrovascular disease affecting left non-dominant side
10910	I69.839	Monoplegia of upper limb following other cerebrovascular disease affecting unspecified side
10912	I69.841	Monoplegia of lower limb following other cerebrovascular disease affecting right dominant side
10913	I69.842	Monoplegia of lower limb following other cerebrovascular disease affecting left dominant side
10914	I69.843	Monoplegia of lower limb following other cerebrovascular disease affecting right non-dominant side
10915	I69.844	Monoplegia of lower limb following other cerebrovascular disease affecting left non-dominant side
10916	I69.849	Monoplegia of lower limb following other cerebrovascular disease affecting unspecified side
10918	I69.851	Hemiplegia and hemiparesis following other cerebrovascular disease affecting right dominant side
10919	I69.852	Hemiplegia and hemiparesis following other cerebrovascular disease affecting left dominant side
10920	I69.853	Hemiplegia and hemiparesis following other cerebrovascular disease affecting right non-dominant side
10921	I69.854	Hemiplegia and hemiparesis following other cerebrovascular disease affecting left non-dominant side
10922	I69.859	Hemiplegia and hemiparesis following other cerebrovascular disease affecting unspecified side
10924	I69.861	Other paralytic syndrome following other cerebrovascular disease affecting right dominant side
10925	I69.862	Other paralytic syndrome following other cerebrovascular disease affecting left dominant side
10926	I69.863	Other paralytic syndrome following other cerebrovascular disease affecting right non-dominant side
10927	I69.864	Other paralytic syndrome following other cerebrovascular disease affecting left non-dominant side
10928	I69.865	"Other paralytic syndrome following other cerebrovascular disease, bilateral"
10929	I69.869	Other paralytic syndrome following other cerebrovascular disease affecting unspecified side
10931	I69.890	Apraxia following other cerebrovascular disease
10932	I69.891	Dysphagia following other cerebrovascular disease
10933	I69.892	Facial weakness following other cerebrovascular disease
10934	I69.893	Ataxia following other cerebrovascular disease
10935	I69.898	Other sequelae of other cerebrovascular disease
10937	I69.90	Unspecified sequelae of unspecified cerebrovascular disease
10938	I69.91	Cognitive deficits following unspecified cerebrovascular disease
10940	I69.920	Aphasia following unspecified cerebrovascular disease
10941	I69.921	Dysphasia following unspecified cerebrovascular disease
10942	I69.922	Dysarthria following unspecified cerebrovascular disease
10943	I69.923	Fluency disorder following unspecified cerebrovascular disease
10944	I69.928	Other speech and language deficits following unspecified cerebrovascular disease
10946	I69.931	Monoplegia of upper limb following unspecified cerebrovascular disease affecting right dominant side
10947	I69.932	Monoplegia of upper limb following unspecified cerebrovascular disease affecting left dominant side
10948	I69.933	Monoplegia of upper limb following unspecified cerebrovascular disease affecting right non-dominant side
10949	I69.934	Monoplegia of upper limb following unspecified cerebrovascular disease affecting left non-dominant side
10950	I69.939	Monoplegia of upper limb following unspecified cerebrovascular disease affecting unspecified side
10952	I69.941	Monoplegia of lower limb following unspecified cerebrovascular disease affecting right dominant side
10953	I69.942	Monoplegia of lower limb following unspecified cerebrovascular disease affecting left dominant side
10954	I69.943	Monoplegia of lower limb following unspecified cerebrovascular disease affecting right non-dominant side
10955	I69.944	Monoplegia of lower limb following unspecified cerebrovascular disease affecting left non-dominant side
10956	I69.949	Monoplegia of lower limb following unspecified cerebrovascular disease affecting unspecified side
10958	I69.951	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right dominant side
10959	I69.952	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left dominant side
10960	I69.953	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right non-dominant side
10961	I69.954	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left non-dominant side
10962	I69.959	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting unspecified side
10964	I69.961	Other paralytic syndrome following unspecified cerebrovascular disease affecting right dominant side
10965	I69.962	Other paralytic syndrome following unspecified cerebrovascular disease affecting left dominant side
10966	I69.963	Other paralytic syndrome following unspecified cerebrovascular disease affecting right non-dominant side
10967	I69.964	Other paralytic syndrome following unspecified cerebrovascular disease affecting left non-dominant side
10968	I69.965	"Other paralytic syndrome following unspecified cerebrovascular disease, bilateral"
10969	I69.969	Other paralytic syndrome following unspecified cerebrovascular disease affecting unspecified side
10971	I69.990	Apraxia following unspecified cerebrovascular disease
10972	I69.991	Dysphagia following unspecified cerebrovascular disease
10973	I69.992	Facial weakness following unspecified cerebrovascular disease
10974	I69.993	Ataxia following unspecified cerebrovascular disease
10975	I69.998	Other sequelae following unspecified cerebrovascular disease
23156	O09.00	"Supervision of pregnancy with history of infertility, unspecified trimester"
23157	O09.01	"Supervision of pregnancy with history of infertility, first trimester"
23158	O09.02	"Supervision of pregnancy with history of infertility, second trimester"
23159	O09.03	"Supervision of pregnancy with history of infertility, third trimester"
23161	O09.10	"Supervision of pregnancy with history of ectopic or molar pregnancy, unspecified trimester"
23162	O09.11	"Supervision of pregnancy with history of ectopic or molar pregnancy, first trimester"
23163	O09.12	"Supervision of pregnancy with history of ectopic or molar pregnancy, second trimester"
23164	O09.13	"Supervision of pregnancy with history of ectopic or molar pregnancy, third trimester"
23167	O09.211	"Supervision of pregnancy with history of pre-term labor, first trimester"
23168	O09.212	"Supervision of pregnancy with history of pre-term labor, second trimester"
23169	O09.213	"Supervision of pregnancy with history of pre-term labor, third trimester"
23170	O09.219	"Supervision of pregnancy with history of pre-term labor, unspecified trimester"
23172	O09.291	"Supervision of pregnancy with other poor reproductive or obstetric history, first trimester"
23173	O09.292	"Supervision of pregnancy with other poor reproductive or obstetric history, second trimester"
23174	O09.293	"Supervision of pregnancy with other poor reproductive or obstetric history, third trimester"
23175	O09.299	"Supervision of pregnancy with other poor reproductive or obstetric history, unspecified trimester"
23177	O09.30	"Supervision of pregnancy with insufficient antenatal care, unspecified trimester"
23178	O09.31	"Supervision of pregnancy with insufficient antenatal care, first trimester"
23179	O09.32	"Supervision of pregnancy with insufficient antenatal care, second trimester"
23180	O09.33	"Supervision of pregnancy with insufficient antenatal care, third trimester"
23182	O09.40	"Supervision of pregnancy with grand multiparity, unspecified trimester"
23183	O09.41	"Supervision of pregnancy with grand multiparity, first trimester"
23184	O09.42	"Supervision of pregnancy with grand multiparity, second trimester"
23185	O09.43	"Supervision of pregnancy with grand multiparity, third trimester"
23188	O09.511	"Supervision of elderly primigravida, first trimester"
23189	O09.512	"Supervision of elderly primigravida, second trimester"
23190	O09.513	"Supervision of elderly primigravida, third trimester"
23191	O09.519	"Supervision of elderly primigravida, unspecified trimester"
23193	O09.521	"Supervision of elderly multigravida, first trimester"
23194	O09.522	"Supervision of elderly multigravida, second trimester"
23195	O09.523	"Supervision of elderly multigravida, third trimester"
23196	O09.529	"Supervision of elderly multigravida, unspecified trimester"
23199	O09.611	"Supervision of young primigravida, first trimester"
23200	O09.612	"Supervision of young primigravida, second trimester"
23201	O09.613	"Supervision of young primigravida, third trimester"
23202	O09.619	"Supervision of young primigravida, unspecified trimester"
23204	O09.621	"Supervision of young multigravida, first trimester"
23205	O09.622	"Supervision of young multigravida, second trimester"
23206	O09.623	"Supervision of young multigravida, third trimester"
23207	O09.629	"Supervision of young multigravida, unspecified trimester"
23209	O09.70	"Supervision of high risk pregnancy due to social problems, unspecified trimester"
23210	O09.71	"Supervision of high risk pregnancy due to social problems, first trimester"
23211	O09.72	"Supervision of high risk pregnancy due to social problems, second trimester"
23212	O09.73	"Supervision of high risk pregnancy due to social problems, third trimester"
23215	O09.811	"Supervision of pregnancy resulting from assisted reproductive technology, first trimester"
23216	O09.812	"Supervision of pregnancy resulting from assisted reproductive technology, second trimester"
23217	O09.813	"Supervision of pregnancy resulting from assisted reproductive technology, third trimester"
23218	O09.819	"Supervision of pregnancy resulting from assisted reproductive technology, unspecified trimester"
23220	O09.821	"Supervision of pregnancy with history of in utero procedure during previous pregnancy, first trimester"
23221	O09.822	"Supervision of pregnancy with history of in utero procedure during previous pregnancy, second trimester"
23222	O09.823	"Supervision of pregnancy with history of in utero procedure during previous pregnancy, third trimester"
23223	O09.829	"Supervision of pregnancy with history of in utero procedure during previous pregnancy, unspecified trimester"
23225	O09.891	"Supervision of other high risk pregnancies, first trimester"
23226	O09.892	"Supervision of other high risk pregnancies, second trimester"
23227	O09.893	"Supervision of other high risk pregnancies, third trimester"
23228	O09.899	"Supervision of other high risk pregnancies, unspecified trimester"
23230	O09.90	"Supervision of high risk pregnancy, unspecified, unspecified trimester"
23231	O09.91	"Supervision of high risk pregnancy, unspecified, first trimester"
23232	O09.92	"Supervision of high risk pregnancy, unspecified, second trimester"
23233	O09.93	"Supervision of high risk pregnancy, unspecified, third trimester"
25207	O66.5	Attempted application of vacuum extractor and forceps
25359	O80	Encounter for full-term uncomplicated delivery
25503	O94	"Sequelae of complication of pregnancy, childbirth, and the puerperium"
25748	P00.0	Newborn (suspected to be) affected by maternal hypertensive disorders
25749	P00.1	Newborn (suspected to be) affected by maternal renal and urinary tract diseases
25750	P00.2	Newborn (suspected to be) affected by maternal infectious and parasitic diseases
25751	P00.3	Newborn (suspected to be) affected by other maternal circulatory and respiratory diseases
25752	P00.4	Newborn (suspected to be) affected by maternal nutritional disorders
25753	P00.5	Newborn (suspected to be) affected by maternal injury
25754	P00.6	Newborn (suspected to be) affected by surgical procedure on mother
25755	P00.7	"Newborn (suspected to be) affected by other medical procedures on mother, not elsewhere classified"
25757	P00.81	Newborn (suspected to be) affected by periodontal disease in mother
25758	P00.89	Newborn (suspected to be) affected by other maternal conditions
25759	P00.9	Newborn (suspected to be) affected by unspecified maternal condition
26252	Q00.0	Anencephaly
26253	Q00.1	Craniorachischisis
26254	Q00.2	Iniencephaly
26256	Q01.0	Frontal encephalocele
26257	Q01.1	Nasofrontal encephalocele
26258	Q01.2	Occipital encephalocele
26259	Q01.8	Encephalocele of other sites
26260	Q01.9	"Encephalocele, unspecified"
26261	Q02	Microcephaly
26263	Q03.0	Malformations of aqueduct of Sylvius
26264	Q03.1	Atresia of foramina of Magendie and Luschka
26265	Q03.8	Other congenital hydrocephalus
26266	Q03.9	"Congenital hydrocephalus, unspecified"
26268	Q04.0	Congenital malformations of corpus callosum
26269	Q04.1	Arhinencephaly
26270	Q04.2	Holoprosencephaly
26271	Q04.3	Other reduction deformities of brain
26272	Q04.4	Septo-optic dysplasia of brain
26273	Q04.5	Megalencephaly
26274	Q04.6	Congenital cerebral cysts
26275	Q04.8	Other specified congenital malformations of brain
26276	Q04.9	"Congenital malformation of brain, unspecified"
26278	Q05.0	Cervical spina bifida with hydrocephalus
26279	Q05.1	Thoracic spina bifida with hydrocephalus
26280	Q05.2	Lumbar spina bifida with hydrocephalus
26281	Q05.3	Sacral spina bifida with hydrocephalus
26282	Q05.4	Unspecified spina bifida with hydrocephalus
26283	Q05.5	Cervical spina bifida without hydrocephalus
26284	Q05.6	Thoracic spina bifida without hydrocephalus
26285	Q05.7	Lumbar spina bifida without hydrocephalus
26286	Q05.8	Sacral spina bifida without hydrocephalus
26287	Q05.9	"Spina bifida, unspecified"
26289	Q06.0	Amyelia
26290	Q06.1	Hypoplasia and dysplasia of spinal cord
26291	Q06.2	Diastematomyelia
26292	Q06.3	Other congenital cauda equina malformations
26293	Q06.4	Hydromyelia
26294	Q06.8	Other specified congenital malformations of spinal cord
26295	Q06.9	"Congenital malformation of spinal cord, unspecified"
26298	Q07.00	Arnold-Chiari syndrome without spina bifida or hydrocephalus
26299	Q07.01	Arnold-Chiari syndrome with spina bifida
26300	Q07.02	Arnold-Chiari syndrome with hydrocephalus
26301	Q07.03	Arnold-Chiari syndrome with spina bifida and hydrocephalus
26302	Q07.8	Other specified congenital malformations of nervous system
26303	Q07.9	"Congenital malformation of nervous system, unspecified"
26305	Q10.0	Congenital ptosis
26306	Q10.1	Congenital ectropion
26307	Q10.2	Congenital entropion
26308	Q10.3	Other congenital malformations of eyelid
26309	Q10.4	Absence and agenesis of lacrimal apparatus
26310	Q10.5	Congenital stenosis and stricture of lacrimal duct
26311	Q10.6	Other congenital malformations of lacrimal apparatus
26312	Q10.7	Congenital malformation of orbit
26314	Q11.0	Cystic eyeball
26315	Q11.1	Other anophthalmos
26316	Q11.2	Microphthalmos
26317	Q11.3	Macrophthalmos
26319	Q12.0	Congenital cataract
26320	Q12.1	Congenital displaced lens
26321	Q12.2	Coloboma of lens
26322	Q12.3	Congenital aphakia
26323	Q12.4	Spherophakia
26324	Q12.8	Other congenital lens malformations
26325	Q12.9	"Congenital lens malformation, unspecified"
26327	Q13.0	Coloboma of iris
26328	Q13.1	Absence of iris
26329	Q13.2	Other congenital malformations of iris
26330	Q13.3	Congenital corneal opacity
26331	Q13.4	Other congenital corneal malformations
26332	Q13.5	Blue sclera
26334	Q13.81	Rieger's anomaly
26335	Q13.89	Other congenital malformations of anterior segment of eye
26336	Q13.9	"Congenital malformation of anterior segment of eye, unspecified"
26338	Q14.0	Congenital malformation of vitreous humor
26339	Q14.1	Congenital malformation of retina
26340	Q14.2	Congenital malformation of optic disc
26341	Q14.3	Congenital malformation of choroid
26342	Q14.8	Other congenital malformations of posterior segment of eye
26343	Q14.9	"Congenital malformation of posterior segment of eye, unspecified"
26345	Q15.0	Congenital glaucoma
26346	Q15.8	Other specified congenital malformations of eye
26347	Q15.9	"Congenital malformation of eye, unspecified"
26349	Q16.0	Congenital absence of (ear) auricle
26350	Q16.1	"Congenital absence, atresia and stricture of auditory canal (external)"
26351	Q16.2	Absence of eustachian tube
26352	Q16.3	Congenital malformation of ear ossicles
26353	Q16.4	Other congenital malformations of middle ear
26354	Q16.5	Congenital malformation of inner ear
26355	Q16.9	"Congenital malformation of ear causing impairment of hearing, unspecified"
26357	Q17.0	Accessory auricle
26358	Q17.1	Macrotia
26359	Q17.2	Microtia
26360	Q17.3	Other misshapen ear
26361	Q17.4	Misplaced ear
26362	Q17.5	Prominent ear
26363	Q17.8	Other specified congenital malformations of ear
26364	Q17.9	"Congenital malformation of ear, unspecified"
26366	Q18.0	"Sinus, fistula and cyst of branchial cleft"
26367	Q18.1	Preauricular sinus and cyst
26368	Q18.2	Other branchial cleft malformations
26369	Q18.3	Webbing of neck
26370	Q18.4	Macrostomia
26371	Q18.5	Microstomia
26372	Q18.6	Macrocheilia
26373	Q18.7	Microcheilia
26374	Q18.8	Other specified congenital malformations of face and neck
26375	Q18.9	"Congenital malformation of face and neck, unspecified"
26377	Q20.0	Common arterial trunk
26378	Q20.1	Double outlet right ventricle
26379	Q20.2	Double outlet left ventricle
26380	Q20.3	Discordant ventriculoarterial connection
26381	Q20.4	Double inlet ventricle
26382	Q20.5	Discordant atrioventricular connection
26383	Q20.6	Isomerism of atrial appendages
26384	Q20.8	Other congenital malformations of cardiac chambers and connections
26385	Q20.9	"Congenital malformation of cardiac chambers and connections, unspecified"
26387	Q21.0	Ventricular septal defect
26388	Q21.1	Atrial septal defect
26389	Q21.2	Atrioventricular septal defect
26390	Q21.3	Tetralogy of Fallot
26391	Q21.4	Aortopulmonary septal defect
26392	Q21.8	Other congenital malformations of cardiac septa
26393	Q21.9	"Congenital malformation of cardiac septum, unspecified"
26395	Q22.0	Pulmonary valve atresia
26396	Q22.1	Congenital pulmonary valve stenosis
26397	Q22.2	Congenital pulmonary valve insufficiency
26398	Q22.3	Other congenital malformations of pulmonary valve
26399	Q22.4	Congenital tricuspid stenosis
26400	Q22.5	Ebstein's anomaly
26401	Q22.6	Hypoplastic right heart syndrome
26402	Q22.8	Other congenital malformations of tricuspid valve
26403	Q22.9	"Congenital malformation of tricuspid valve, unspecified"
26405	Q23.0	Congenital stenosis of aortic valve
26406	Q23.1	Congenital insufficiency of aortic valve
26407	Q23.2	Congenital mitral stenosis
26408	Q23.3	Congenital mitral insufficiency
26409	Q23.4	Hypoplastic left heart syndrome
26410	Q23.8	Other congenital malformations of aortic and mitral valves
26411	Q23.9	"Congenital malformation of aortic and mitral valves, unspecified"
26413	Q24.0	Dextrocardia
26414	Q24.1	Levocardia
26415	Q24.2	Cor triatriatum
26416	Q24.3	Pulmonary infundibular stenosis
26417	Q24.4	Congenital subaortic stenosis
